result,table,timestamp,co2_air_quality,dewPoint_air_quality,humidity_air_quality,temperature_air_quality,voc_air_quality,leak_tamper_leak,leak_temp_leak,leak_water_leak,plug_energy_plug,plug_overCurrent_plug,plug_overLoad_plug,plug_power_plug,smoke_tamper_smoke,smoke_temp_smoke,vib_alarm_vibration,vib_ax_vibration,vib_ay_vibration,vib_az_vibration,vib_lux_vibration,vib_seismic_vibration,vib_tamper_vibration,vib_temp_vibration
_result,0,2026-01-17T14:05:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:06:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:07:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:08:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:09:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:10:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:11:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:12:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:13:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:14:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:15:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:16:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:17:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:18:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:19:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:20:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:21:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:22:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:23:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:24:00Z,null,null,null,null,null,null,null,null,10.819999999999995,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:25:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:26:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:27:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:28:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:29:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:30:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:31:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:32:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:33:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:34:00Z,null,null,null,null,null,null,null,null,10.819999999999997,0,0,0,null,null,null,null,null,null,null,null,null,null
_result,0,2026-01-17T14:35:00Z,564.9999872,11.4,51,21.8,0.268,0,21.49,0,10.819999999999997,0,0,0,1,21.7,0,0,0,0,9,0,0,22.1
_result,0,2026-01-17T14:36:00Z,564.9999872000003,11.4,51.785714285714285,21.8,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0.1875,0,0,0,9,0,0.1875,22.100000000000012
_result,0,2026-01-17T14:37:00Z,564.9999872000003,11.4,52,21.8,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999996,0.2903225806451613,0,0,0,9,0,0.25806451612903225,22.100000000000012
_result,0,2026-01-17T14:38:00Z,564.9999872000003,11.399999999999999,52,21.799999999999997,0.26799999999999985,null,null,null,10.819999999999999,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:39:00Z,564.9999872000003,11.4,52,21.8,0.26799999999999985,null,null,null,10.819999999999999,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:40:00Z,564.9999872000003,11.4,52,21.964285714285715,0.26799999999999985,null,null,null,10.819999999999999,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:41:00Z,564.9999872000003,11.400000000000002,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:42:00Z,564.9999872000003,11.4,52,22,0.26799999999999985,null,null,null,10.819999999999999,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:43:00Z,564.9999872000002,11.400000000000004,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999996,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:44:00Z,564.9999872000003,11.4,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:45:00Z,564.9999872000003,11.399999999999999,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000016
_result,0,2026-01-17T14:46:00Z,564.9999872000003,11.4,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:47:00Z,564.9999872000003,11.4,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:48:00Z,564.9999872000003,11.4,52,22,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
_result,0,2026-01-17T14:49:00Z,564.9999872000003,11.4,52,22.425925925925927,0.26799999999999985,null,null,null,10.819999999999997,0,0,0,1,21.699999999999992,0,0,0,0,9,0,0,22.100000000000012
